File	:{'Rule': 1}
CanIf_Cfg.h	:{'ARR02': 1, 'DCL00': 1, 'DCL23': 119}
ComM_Cfg_Internal.h	:{'ARR02': 4, 'DCL19': 1, 'DCL39': 2}
Com_Cfg_Internal.h	:{'ARR02': 1, 'DCL23': 4, 'PRE00': 1, 'PRE02': 2, 'PRE12': 1}
Com_PBcfg.h	:{'ARR02': 67}
Crc_Cfg.h	:{'ARR02': 2, 'DCL06': 1, 'DCL19': 1, 'EXP07': 1, 'PRE00': 1, 'PRE12': 1}
CryIf_Prv.h	:{'ARR02': 18, 'DCL00': 44, 'DCL13': 7, 'DCL19': 14}
Dcm_Cfg_DslDsd.h	:{'ARR02': 7, 'DCL00': 6, 'DCL23': 8, 'PRE00': 1, 'PRE12': 1}
Dcm_Lcfg_DspUds.h	:{'ARR02': 12, 'DCL00': 76, 'DCL13': 4}
SecOC_Prv.h	:{'ARR02': 32, 'DCL00': 119, 'DCL06': 6, 'DCL12': 2, 'DCL19': 7, 'DCL23': 10, 'DCL39': 6, 'EXP07': 6, 'EXP20': 1, 'EXP34': 11, 'INT08': 2, 'INT12': 12, 'INT34': 1}
rba_CryptoBCL_Cfg.h	:{'ARR02': 1, 'DCL06': 1, 'EXP07': 1}
rba_CryptoHSM_Cfg.h	:{'ARR02': 1, 'DCL00': 4, 'DCL06': 5, 'DCL23': 16, 'EXP07': 5}
rba_CryptoHSM_Prv.h	:{'ARR02': 1, 'DCL00': 99, 'DCL06': 3, 'DCL13': 2, 'DCL19': 7, 'DCL23': 25, 'EXP07': 3, 'PRE00': 1, 'PRE01': 1, 'PRE11': 1, 'PRE12': 1}
BswM_Cfg_MRP.c	:{'ARR02': 1, 'DCL00': 1, 'DCL19': 1}
BswM_PBcfg.c	:{'ARR02': 5, 'DCL06': 10, 'DCL19': 1, 'DCL23': 3, 'EXP07': 10}
CanIf_PBcfg.c	:{'ARR02': 10, 'DCL06': 2, 'EXP07': 2}
CanSM_PBcfg.c	:{'ARR02': 4, 'DCL15': 2, 'DCL19': 2}
Can_PBcfg.c	:{'ARR02': 13}
ComM_Cfg.c	:{'ARR02': 1, 'DCL00': 8, 'DCL19': 1}
ComM_PBcfg.c	:{'ARR02': 5}
Com_PBcfg.c	:{'ARR02': 1, 'DCL00': 2, 'DCL06': 70, 'DCL15': 67, 'DCL19': 67, 'DCL23': 12, 'DCL40': 10, 'EXP07': 70}
Crc_Cfg.c	:{'ARR02': 1, 'DCL19': 1}
CryIf_Cfg.c	:{'ARR02': 16, 'DCL19': 14}
Csm_Cfg.c	:{'ARR02': 2, 'DCL00': 12, 'DCL02': 1, 'DCL06': 1, 'DCL15': 2, 'DCL19': 2, 'EXP07': 1}
Dcm_Lcfg_DslDsd.c	:{'ARR02': 16, 'DCL00': 6, 'DCL06': 4, 'DCL19': 1, 'EXP07': 4}
